Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
0,0.876134625191229,0.7548209366391184,0.35149040923349034,0.7183849967107541
1,0.9298827129015809,0.9418426691153964,0.1982897313290426,0.16874666882724296
2,0.9426823049464559,0.9413835322926232,0.15786424413517872,0.16607696178664522
3,0.9525752167261601,0.9432200795837159,0.1377566138625777,0.16925567217262052
4,0.9560428352881183,0.9449035812672176,0.12090787752630222,0.16043033604850856
5,0.9586435492095869,0.9520967248239975,0.11524397167369578,0.1513781850044502
6,0.9654258031616522,0.9565350474441383,0.10113532282260124,0.13242850806336942
7,0.9670576236613972,0.9550045913682277,0.09642603406743382,0.1339280191138841
8,0.971443141254462,0.9522497704315886,0.08587137539947001,0.15739477796184762
9,0.9733809280979092,0.9445974900520355,0.07522866303111816,0.16823614685364613
10,0.9710861805201428,0.9573002754820936,0.08043897591818422,0.13402693966267312
11,0.9737888832228455,0.926232017141108,0.07154046172590632,0.22031271059702082
